,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
LM-17,0.7671310105528051,0.07743035004407375,0.1623547412781928,0.153676351654276,0.11364831889473495,0.8194984292873295,0.54570677058814,0.060161217230299456,-191.63251058436924,-212.766911972692,0.7369746059910586,0.3512943796599814,Válido
MP-07A,0.4170532045247204,0.05356907955188845,0.0705223694055683,0.06517192004332824,0.04936565858389781,0.6517411373482527,0.495151333826915,0.04561670556126862,-631.8644997417966,-662.8841094858435,1.2805731748454758,0.09316725918526271,No Válido
MP-07C-1,0.11752419144549642,0.04857416168033794,0.051984798166870884,0.05511513079829536,0.036389358716809615,0.5944166289332065,0.16124333035594407,0.03913444351710109,-669.0230503568423,-699.5425877440823,0.9073563208909146,0.6722558251357713,No Válido
MP-08A,0.6353857323503866,0.037598771736968704,0.06255986235650939,0.055576753415126884,0.04379190364955657,0.756526459154166,0.14926926847284322,0.02953021495857462,-710.9442079627518,-743.0181539762946,1.172406630980588,0.0005168051448963927,No Válido
MPS-AA,0.27977356281969856,0.02943583621982236,0.03482804353068471,0.018384993678091665,0.024379630471479292,0.339899392881468,0.5627872710814124,0.02227923575323761,-901.9661434572586,-935.6143959940576,1.0193644985238524,0.00016381443942605015,No Válido
MPS-AB,0.23940189824085933,0.030709948184251483,0.03535928928643491,0.018025334799128486,0.024751502500504438,0.3066727889551154,0.20453770598005439,0.022613808666050287,-872.8362727576547,-906.3857593048156,1.3238130551148442,0.0005528038042610569,No Válido
MPS-AC,0.25821085847765657,0.02881350284453591,0.033593703496328634,0.017150225631953436,0.023515592447430043,0.300301868598035,0.5562287238274732,0.021559584542877222,-866.0422913123223,-899.5917778594832,1.8885971684137433,0.0032890962677301783,No Válido
MPS-CA,0.48381872548180305,0.143878381473519,0.20110686590474383,0.11900087521203283,0.14077480613332066,0.5429568363743842,0.0747464615756618,0.10361495789519713,-519.6824459486999,-553.0319278660382,0.739128640377665,6.328563757925118e-05,No Válido
MPS-CB,0.5217187377753238,0.14577600307108385,0.21167854034787692,0.12882342506424707,0.14817497824351383,0.5704907399836137,0.16067409618051254,0.10341911305970695,-511.9797657223967,-545.3292476397351,0.7432007676392677,2.8658862509338333e-05,No Válido
MPS-CC,0.418003676128754,0.15805074664726726,0.20805056911877165,0.11768000686298835,0.14563539838314016,0.5017856797595064,0.001238310151603902,0.1203947414404361,-521.8053269294942,-555.1548088468326,1.1464299209042317,0.0041009596608248405,No Válido
PN-03,0.5828666685717072,0.1453993120656245,0.22614659419030397,0.1570143437968752,0.15830261593321276,0.6325338596617607,0.06901469532414413,0.11998714531719988,-510.96477018497944,-543.4791326007274,0.9123453237258786,0.1201874518126333,No Válido
PN-04,0.6656201261672217,0.13385354883673067,0.23268054688483328,0.17130079539392623,0.1628763828193833,0.6801552079393449,0.03155957733165674,0.109427779396365,-462.33340747360444,-493.229939215645,0.9324440982327454,0.0006435506795203782,No Válido
PN-07,0.731964284388487,0.11382769791913636,0.22098163291590034,0.1915956566440202,0.15468714304113024,0.8242067095306985,0.8341224210563589,0.0905933359493734,-497.0996396750113,-528.2410778766264,0.9557578381380548,0.17709277892053674,Válido
PN-08A,0.6721932715195345,0.12023903506657228,0.21073126652041402,0.14957873121627618,0.1475118865642898,0.6993093138769126,0.31015459579528626,0.08426456110323545,-732.6644591895852,-768.4677386500852,0.5732699862331123,2.38721411706182e-07,Válido
PN-09,0.7305127111158836,0.11258078394197901,0.21788838608815622,0.17897784061373798,0.15252187026170935,0.7707612373810435,0.9727271342332324,0.08228616205751166,-523.3510672861983,-555.4250132997411,0.7198296415745626,0.0027826078184514046,Válido
PP-01,0.31363231278242376,0.055131803216058234,0.06685944061878794,0.044461472992684846,0.04680160843315156,0.5005801315714131,0.03076740361505843,0.04397954230723805,-633.2209240113814,-665.2948700249242,0.9223189731895035,0.03995112398099241,No Válido
PP-03,0.2944442274562774,0.04017357761745685,0.04805225693901444,0.02762133342649205,0.033636579857310105,0.3810883908864474,0.7820772599212105,0.0317882326763691,-693.4509741356526,-725.5249201491955,1.4721166145855549,0.17501875211367857,No Válido
REGLILLA INTERNA CONAF,0.9943378281620514,0.0012789599411039121,0.026232840196192684,0.052055658683457975,0.018362988137334876,0.9961244463802934,1.0,0.0009884321685704992,-89.04322142296282,-91.40991635099745,2.410079860187844,0.4047446403540138,Válido
REGLILLA SALADA CONAF,0.6678565461899673,0.0047912237192586065,0.008042910281554305,0.2710319909734466,0.005630037197088013,0.7755734923441122,0.8792931246571243,0.00397925224944415,-323.23245054882887,-341.5487768442228,219.53746512657648,0.8388845139131503,No Válido
REGLILLA SALADITA CONAF,-0.03490080793395989,0.008196633709356022,0.009779366354209118,0.021578893489663256,0.006845556447946382,0.04809319519770605,0.01640725367496998,0.005955326584333826,-350.3383418593129,-371.1903772787133,28.583255179171218,0.004397614668065857,No Válido
Zanja Camino a Peine,0.5484785640560578,0.11997578614076351,0.16612209553842608,0.11787118519804257,0.11628546687689825,0.5807184602228637,0.005884619428069792,0.09663288875877107,-854.7146450979199,-891.3895947620996,1.0369811408378642,0.09244377535789083,No Válido
Summary,,,,,,,,,,,,,Total Válidos: 15
