,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
MP-07C-1,0.0008182949686244001,0.05168638359185317,0.051984798166870884,0.007561126983957276,0.036389358716809615,-0.362495655357842,0.6604341257530062,0.04171767374412972,-602.734250157699,-633.253787544939,3688.365486580519,0.8855990715337522,No Válido
MP-08A,0.3349489195405596,0.05077902174906778,0.06255986235650939,0.04508151228369094,0.04379190364955657,0.5170965392323812,0.5506821722360289,0.04101374089286254,-676.1835028888247,-708.2574489023676,1.183294624637783,0.7768728884749249,No Válido
MPS-AA,0.17249496671849907,0.03155202013763495,0.03482804353068471,0.014909558064345187,0.024379630471479292,0.1763767819727251,0.08164339238186616,0.020899901403045526,-863.9924386870043,-897.6406912238034,0.7078387074434632,1.1093019583768423e-07,No Válido
MPS-AB,0.0529623414001088,0.034267710522426345,0.03535928928643491,0.018516901531281597,0.024751502500504438,0.13477727425129082,0.40127131754826184,0.025477109628854654,-873.9598785742962,-907.5093651214571,0.7117693081028502,0.0030918359108599285,No Válido
MPS-AC,0.16020349846626925,0.030657931756219944,0.033593703496328634,0.013028534047674439,0.023515592447430043,0.1262918832207709,0.5950397483249905,0.021720857288359232,-856.2230891793613,-889.7725757265222,1.8444872468697184,0.00152618557831783,No Válido
MPS-CA,0.5612414761195019,0.13264998470038564,0.20110686590474383,0.1386465358402688,0.14077480613332066,0.6036289759428196,0.09118041884259104,0.091379223882644,-511.2531431227744,-544.6026250401128,0.5188437900929924,5.025717922951268e-10,No Válido
MPS-CB,0.5183302922736008,0.14629147617852792,0.21167854034787692,0.12949907753894738,0.14817497824351383,0.5288669015735251,0.1152158876415724,0.10559903729181161,-504.43291109381414,-537.7823930111525,0.45861218588449654,1.2342951962249833e-09,No Válido
MPS-CC,0.49713755533851267,0.14691327233039897,0.20805056911877165,0.13574666588757717,0.14563539838314016,0.5411792632709584,0.5903577808700127,0.1108720561181549,-532.6851344372468,-566.0346163545852,0.5658025480524798,2.114376170576812e-05,No Válido
PN-03,0.7159143474309067,0.1199912437923503,0.22614659419030397,0.1788828588096334,0.15830261593321276,0.7518388297001194,0.7328751512223087,0.09133065400092248,-513.2138829223178,-545.7282453380658,0.5850703191542809,0.0036119599359446053,Válido
PN-04,0.7616389043994352,0.11301276789422789,0.23268054688483328,0.19786557452517364,0.1628763828193833,0.8164615836770757,0.929752104265355,0.08538155144981258,-469.72465808624725,-500.6211898282878,0.6478249469752808,0.02725778513511688,Válido
PN-07,0.729229958687803,0.11440682270160905,0.22098163291590034,0.17508694216426907,0.15468714304113024,0.7850080485684341,0.24654741856723594,0.07959739855590155,-465.8774452182987,-497.0188834199138,0.5715103251344098,0.001266118160919967,Válido
PN-08A,0.5746573107773503,0.1369638756968246,0.21073126652041402,0.14138602660593533,0.1475118865642898,0.623463357498055,0.014804683657366011,0.09968634828947086,-727.3320026053811,-763.1352820658811,0.4672847695986205,2.1900392343627378e-05,No Válido
PN-09,0.7086997137904497,0.11704842696368259,0.21788838608815622,0.17760956734819972,0.15252187026170935,0.7447578919707127,0.6499946038854381,0.08343726281360415,-510.32895087890387,-542.4028968924467,0.6280613219992182,5.148153255343206e-07,Válido
PP-01,0.20481944822538967,0.05934124549929432,0.06685944061878794,0.024302570471328774,0.04680160843315156,0.22010013246670057,0.29205879928042966,0.04917765387592447,-607.1932659252093,-639.2672119387522,1.235569151577587,0.037031797613860884,No Válido
PP-03,0.0966005563040504,0.045458462594863774,0.04805225693901444,0.012983373238917522,0.033636579857310105,-0.0002260267538418681,0.5611069075042419,0.03665489599418655,-671.2380943127218,-703.3120403262647,1.803237853732583,0.04528362236694717,No Válido
REGLILLA INTERNA CONAF,0.4314372445372088,0.0128160626827354,0.026232840196192684,0.38616812585251753,0.018362988137334876,0.5146924880873207,1.0,0.011847642872655544,-52.060059912526725,-54.42675484056136,125.75811803780518,0.45714123353250746,No Válido
REGLILLA SALADA CONAF,0.2119060699162435,0.00738027581733926,0.008042910281554305,0.003811478900882186,0.005630037197088013,0.31777244102835833,0.9193615607218817,0.005279433237172484,-295.0630733462119,-313.37939964160586,10.108972621268451,0.02757274017094049,No Válido
REGLILLA SALADITA CONAF,0.07090711352566914,0.007766328068948218,0.009779366354209118,0.008040848152613193,0.006845556447946382,0.03801498179198315,0.7012093426560568,0.005192203944001707,-363.2080303104108,-384.0600657298112,0.5454090154814074,0.003258046904540233,No Válido
Zanja Camino a Peine,0.7307265333612476,0.0926512319738422,0.16612209553842608,0.15233375372569102,0.11628546687689825,0.7674591505782643,0.843700311150938,0.06355411919411422,-843.4759563389003,-880.1509060030801,0.8765547922240158,4.549394390914367e-08,Válido
Summary,,,,,,,,,,,,,Total Válidos: 17
