,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
L10-17,0.7396755408618886,0.10965081598160296,0.20298488456996708,0.17289659932098878,0.14208941919897694,0.8101130888055914,0.877806069967612,0.08121643538674694,-616.9341970742565,-670.1390841110792,0.6139632581797135,5.571942836015933e-05,Válido
L10-2,0.9067822531649256,0.027682347014774587,0.08094120764922762,0.07729310603809769,0.05665884535445933,0.9012119123115536,0.48188171759986786,0.02051421299197597,-668.9246237098157,-714.7039297906757,1.0550584901926978,0.05641350469751908,Válido
L10-3,0.8565628289436802,0.06226009232517023,0.14891728628046164,0.239853196199138,0.10424210039632315,0.8873230259635316,0.836440307429648,0.045620246203711926,-749.3311403843026,-801.6260863961943,1.299039782383018,0.0023279059920906443,Válido
L10-4,0.07271613350475892,0.22071908489184885,0.22823267059918284,0.1426841199102662,0.15976286941942797,0.5237839437099089,4.387303247124637e-253,0.18480656283600994,-16858.552993042398,-16958.549868038725,0.4686958068582079,4.763880464160289e-19,No Válido
L10-5,0.8632127404096013,0.07718546221143636,0.19849640237107227,0.2550703995128842,0.13894748165975057,0.9078013013751153,0.5184940451894903,0.055877954117542164,-652.1579276158833,-704.1842119238748,1.1316561988841063,1.498499829113387e-05,Válido
L10-6,0.9237602413542834,0.05404650581689897,0.1813471668395759,0.1722033469548514,0.12694301678770314,0.9412772827208781,0.595560224990789,0.03525945874998319,-487.47088261111594,-533.4406666599257,1.138900304815052,2.9374028456806593e-07,Válido
L10-7,0.8303742506804563,0.07431085204351467,0.1635779061500951,0.15687263883680305,0.11450453430506656,0.8673570444807883,0.3909545321723614,0.0476829133370476,-433.16788228469426,-478.9471883655543,0.7540137705682574,2.1666285378024676e-07,Válido
L10-8,0.9204428267148406,0.05475392387514919,0.18080860914655175,0.18808888197038728,0.1265660264025862,0.9579587861608521,0.7104990441118315,0.03561996235838658,-494.57582333155904,-540.5456073803688,1.3163502454938452,1.8525574565509102e-07,Válido
L10-9,0.9804637896278924,0.02200803203754002,0.1452704640374962,0.16993647938623802,0.10168932482624733,0.9888014000530007,0.3144569897159727,0.01575085756249839,-707.3566817090268,-753.3264657578366,1.361868192411695,0.0014086284505492608,Válido
LM-05,0.9572443841778498,0.0038505817106885736,0.018859381804630787,0.015585086613897065,0.013201567263241551,0.968435362551461,0.8575823361643415,0.0031237505479339237,-383.69508530896445,-414.0949154830153,1.9228507524391583,0.9438438203480609,Válido
LM-06,0.11082025190880906,0.013391609344097577,0.014319481170202151,0.005207633403719516,0.010023636819141505,0.05707729000884998,0.43156645801265503,0.005269176347871404,-470.39789937178466,-508.3936289269043,2.020677518691838,4.0736236252593534e-14,No Válido
LM-07,0.09571004346778322,0.01689700253953351,0.017888362516300372,0.00522572946839998,0.012521853761410259,0.023767336418402896,0.09310974713448261,0.006691537923603998,-534.3970546695584,-576.111840713212,0.4144077553912571,8.990246219188161e-16,No Válido
LM-08,0.2079941889762036,0.011496623406942281,0.013027339786788763,0.007814764965713605,0.009119137850752133,0.2895557003497995,0.08103711874892951,0.005872535440221327,-470.28969143230216,-507.98789355229997,1.5854351370451394,1.5541162193198214e-11,No Válido
LM-09,0.5829283184637655,0.03128517673152989,0.04875680063053515,0.03503798767106104,0.0341297604413746,0.6379435901095982,0.7105883374125911,0.01988623445234994,-470.7945744368052,-513.2153333172179,0.7383504148765375,2.2177196856809657e-08,No Válido
LM-10,0.28087505986933126,0.04124087573391684,0.048973684287987325,0.026821512180816267,0.03428157900159112,0.3451694445378196,0.5978469804883305,0.02262387921037619,-397.83917418416996,-438.819164326459,2.120268264198384,2.9595896784962984e-10,No Válido
